Release_liftover_manifest	submitted_anatomic_site	anatomic_site	laterality
Azenta WGS set #3	Thyroid-right	thyroid gland	Right
Azenta WGS Set #5	Thyroid-right	thyroid gland	Right
Azenta WGS set #3	Thyroid-right upper	thyroid gland	Right
Azenta WGS set #2	Tongue-posterior	tongue	
Azenta WGS Set #5	Tongue-right	tongue	Right
Release 50	Tonsil, NOS (excludes lingual tonsil C02.4 and pharyngeal tonsil C11.1)	tonsil	
Release 47 liftover	UNKNOWN PRIMARY SITE	Unknown	
Azenta WGS Set #5	Vein	vein	
Release 50	Vertebral column (excludes sacrum and coccyx C41.4)	vertebral column	
Azenta WGS set #2	Vulva, labia-right	genital labium	Right
