Release_liftover_manifest	submitted_diagnosis	diagnosis	comments
Release 47 liftover	"meningioma, CNS WHO grade 1"	Meningioma	
Release 47 liftover	"Meningioma, CNS WHO grade 1, with elevated proliferative index"	Meningioma	
Release 47 liftover	"Meningioma, CNS-WHO grade 1 with high proliferation"	Meningioma	
Release 47 liftover	"Meningioma, fibrous subtype, CNS WHO grade 1"	Fibrous meningioma	
Release 47 liftover	"Meningioma, transitional subtype, CNS WHO grade 1"	Transitional meningioma	
Release 47 liftover	"Meningioma, transitional type"	Transitional meningioma	
Release 47 liftover	"Meningioma, transitional, CNS WHO grade 1"	Transitional meningioma	
Release 47 liftover	"Meningioma, WHO grade 1"	Meningioma	
Release 47 liftover	"Meningioma, WHO grade 2"	Meningioma	
Release 47 liftover	Meningioma: Clear cell CNS WHO grade 2	Clear cell meningioma	
Release 47 liftover	"Meningothelial meningioma, CNS WHO grade 1"	Meningothelial meningioma	
Release 47 liftover	"Meningothelial meningioma, grade 1"	Meningothelial meningioma	
Release 47 liftover	"Mesenchymal chondrosarcoma, with HEY-NCOA2 gene fusion"	Mesenchymal chondrosarcoma	
Release 47 liftover	Mesenchymal lesion	Unknown	
Release 47 liftover	Mesenchymal neoplasm	"Mesenchymal Tumor, NOS"	
Release 47 liftover	"Mesenchymal neoplasm, favor hemangioblastoma, CNS WHO grade 1"	"Mesenchymal Tumor, NOS"	
Release 47 liftover	"Mesenchymal neoplasm, favor meningioma"	"Mesenchymal Tumor, NOS"	
Release 47 liftover	Mesenchymal tumor with EWSR1::ATF1 fusion	"Mesenchymal Tumor, NOS"	
Release 47 liftover	Mesenchymal tumor with prominent fibrous morphology and focal atypical features	"Mesenchymal Tumor, NOS"	
Release 47 liftover	"Mesenchymal tumor, non-meningothelial"	"Mesenchymal Tumor, NOS"	
Release 47 liftover	"Metastatic """"small blue cell tumor"""" with neuroendocrine feature extensively involving the bone marrow"	"Neoplasm, metastatic"	
Release 47 liftover	Metastatic adenocarcinoma with mucinous features	"Adenocarcinoma, metastatic, NOS"	
Release 47 liftover	Metastatic adrenal cortical carcinoma	Adrenal cortical carcinoma	
Release 47 liftover	metastatic alveolar rhabdomyosarcoma	Alveolar rhabdomyosarcoma	
Release 47 liftover	Metastatic alveolar soft part sarcoma	Alveolar soft part sarcoma	
Release 47 liftover	Metastatic carcinoma	"Carcinoma, metastatic, NOS"	
Release 47 liftover	"Metastatic carcinoma, morphologically consistent with known nasopharyngeal carcincoma, undifferentiated."	"Carcinoma, metastatic, NOS"	
Release 47 liftover	Metastatic clear cell sarcoma	Clear Cell Sarcoma	
Release 47 liftover	Metastatic desmoplastic small round cell tumor	"Neoplasm, metastatic"	
Release 47 liftover	Metastatic embryonal rhabdomyosarcoma	Embryonal Rhabdomyosarcoma	
Release 47 liftover	Metastatic embryonal rhabdomyosarcoma in three nodules	Embryonal Rhabdomyosarcoma	
Release 47 liftover	Metastatic ewing sarcoma	Ewing sarcoma	
Release 47 liftover	Metastatic high grade sarcomatous neoplasm	High Grade Sarcoma	
Release 47 liftover	Metastatic leiomyosarcoma FNCLCC grade 2	"Leiomyosarcoma, NOS"	
Release 47 liftover	Metastatic malignant undifferentiated neoplasm consistent with rhabdoid tumor	"Neoplasm, malignant"	
Release 47 liftover	Metastatic medullary carcinoma	"Medullary carcinoma, NOS"	
Release 47 liftover	Metastatic Melanoma	Melanoma	
Release 47 liftover	Metastatic nasopharyngeal carcinoma	Nasopharyngeal Carcinoma	
Release 47 liftover	"Metastatic nasopharyngeal carcinoma, nonkeratinizing squamous cell carcinoma subtype"	Nasopharyngeal Carcinoma	
Release 47 liftover	"Metastatic nasopharyngeal carcinoma, nonkeratinizing, undifferentiated subtype, EBV (EBER) highly positive."	Nasopharyngeal Carcinoma	
Release 47 liftover	Metastatic Neuroblastoma	Neuroblastoma	
Release 47 liftover	Metastatic neuroblastoma 50-80 percent marrow cellularity and trilineage hematopoietic maturation	Neuroblastoma	
Release 47 liftover	Metastatic neuroblastoma involving left (greater than 95 percent) and right (greater than 95 percent) normocellular bone marrow with significantly decreased trilineage hematopoiesis	Neuroblastoma	
Release 47 liftover	"Metastatic neuroblastoma, differentiating subtype"	Neuroblastoma	
Release 47 liftover	"Metastatic neuroblastoma, differentiating subtype, low MKI, favorable histology"	Neuroblastoma	
Release 47 liftover	"Metastatic neuroblastoma, extensive involvement"	Neuroblastoma	
Release 47 liftover	"Metastatic neuroblastoma, favorable histopathology"	Neuroblastoma	
Release 47 liftover	"Metastatic neuroblastoma, multifocal"	Neuroblastoma	
Release 47 liftover	"Metastatic neuroblastoma, poorly differentiated"	Neuroblastoma	
Release 47 liftover	"Metastatic neuroblastoma, poorly differentiated subtype"	Neuroblastoma	
Release 47 liftover	"Metastatic neuroblastoma, poorly differentiated, age greater than 5 years old, unfavorable histologic group"	Neuroblastoma	
Release 47 liftover	"Metastatic neuroendocrine neoplasm, best regarded as high grade neuroendocrine carcinoma, small cell type (small cell carcinoma), consistent with lung origin."	"Neuroendocrine tumor, NOS"	
Release 47 liftover	Metastatic neuroendocrine tumor in two lymph nodes	"Neuroendocrine tumor, NOS"	
Release 47 liftover	Metastatic papillary thyroid carcinoma	Papillary Thyroid Carcinoma	
Release 47 liftover	Metastatic papillary thyroid carcinoma in three of four lymph nodes	Papillary Thyroid Carcinoma	
Release 47 liftover	Metastatic pediatric adrenocortical carcinoma	Adrenocortical Carcinoma	
Release 47 liftover	Metastatic polyphenotypic malignant neoplasm	"Neoplasm, malignant"	
Release 47 liftover	"Metastatic poorly differentiated carcinoma most compatible with squamous cell carcinoma (lymphoepithelial type, EBER positive)"	"Carcinoma, metastatic, NOS"	
Release 47 liftover	metastatic poorly differentiated neuroblastoma	Neuroblastoma	
Release 47 liftover	Metastatic poorly-differentiated neuroblastoma	Neuroblastoma	
Release 47 liftover	Metastatic pulmonary adenocarcinoma	"Adenocarcinoma, metastatic, NOS"	
Release 47 liftover	Metastatic rhabdomyosarcoma	Rhabdomyosarcoma	
Release 47 liftover	"Metastatic sarcoma, consistent with angiosarcoma component from this patients previously identified nerve sheath tumor with angiosarcomatous transformation"	"Sarcoma, NOS"	
Release 47 liftover	Metastatic tumor high risk neuroblastoma	Neuroblastoma	
Release 47 liftover	Metastatic undifferentiated carcinoma	"Carcinoma, metastatic, NOS"	
Release 47 liftover	Metastatic undifferentiated malignant neoplasm	"Neoplasm, malignant"	
Release 47 liftover	Metastatic well-differentiated neuroendocrine neoplasm	"Neuroendocrine tumor, NOS"	
Release 47 liftover	MGA::NUTM1 rearranged spindle and epithelioid cell sarcoma	Epithelioid sarcoma	
Release 47 liftover	Middle ear neuroendocrine tumor	"Neuroendocrine tumor, NOS"	
Release 47 liftover	Midline frontal tumor	"Brain Tumor, NOS"	
Release 47 liftover	"Midline posterior fossa brain, biopsy: Features of Medulloblastoma"	Unknown	
Release 47 liftover	Minimally invasive encapsulated follicular variant papillary thyroid carcinoma	"Papillary carcinoma, encapsulated of thyroid"	
Release 47 liftover	Mismatch repair associated high grade glioma	"High-grade glioma, NOS or NEC"	
Release 47 liftover	Mitotically active glial/ glioneuronal neoplasm	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	Mitotically active glioma	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	Mitotically active infiltrating glioma	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	Mixed germ cell w/ matrue teratoma	Mixed germ cell tumor	
Release 47 liftover	Mixed malignant germ cell tumor	Malignant Mixed Germ Cell Tumor	
Release 47 liftover	"Mixed malignant germ cell tumor with components of embryonal carcinoma, choriocarcinoma, and mature teratoma"	Malignant Mixed Germ Cell Tumor	
Release 47 liftover	"Mixed malignant germ cell tumor, predominantly immature teratoma with rare small foci of germinoma"	Malignant Mixed Germ Cell Tumor	
Release 47 liftover	Mixed sex cord stromal tumor of ovary	"Sex Cord-stromal Tumor, NOS"	
Release 47 liftover	Mixed spindle cell and epithelioid type	Unknown	
Release 47 liftover	"Moderately cellular glioma, IDH-wildtype by immunohistochemistry"	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	Moderately cellular neoplasm	"Neoplasm, NOS"	
Release 47 liftover	"Moderately differentiated adenocarcinoma, consistent with colon primary"	Adenocarcinoma	
Release 47 liftover	Moderately differentiated invasive adenocarcinoma of the sigmoid colon arising on the background of severe adenomatous polyposis	Adenocarcinoma	
Release 47 liftover	Moderately differentiated Sertoli-Leydig cell tumor	Sertoli-Leydig Cell Tumor	
Release 47 liftover	"Moderately hypercellular glial parenchyma, consistent with pediatric type diffuse low-grade glioma"	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	Moderately to poorly differentiated adenocarcinoma	Adenocarcinoma	
Release 47 liftover	Modestly hypercellular brain tissue with mild nuclear atypia	Unknown	
Release 47 liftover	Monophasic Synovial sarcoma	Synovial Sarcoma	
Release 47 liftover	"Monophasic synovial sarcoma, intermediate-grade (FNCLCC Grade 2 of 3)"	Synovial Sarcoma	
Release 47 liftover	"Morphologically aligns well with choroid plexus papilloma, CNS WHO Grade 1"	Unknown	
Release 47 liftover	Morphologically compatible with low grade astrocytic tumor	Unknown	
Release 47 liftover	Morphologically consistent with high-grade neuroepithelial tumor	Unknown	
Release 47 liftover	Morphologically consistent with low grade glial neoplasm	Unknown	
Release 47 liftover	"Morphologically consistent with Pilocytic Astrocytoma, CNS WHO grade 1."	Unknown	
Release 47 liftover	"Morphologically consistent with pilocytic astrocytoma, WHO grade 1"	Unknown	
Release 47 liftover	Morphologically consistent with pilomyxoid astrocytoma	Unknown	
Release 47 liftover	Morphologically low grade glial lesion suggestive of pilocytic astrocytoma	Unknown	
Release 47 liftover	Morphologicaly features suggestive of glioneuronal myxoid neoplasm	Unknown	
Release 47 liftover	Morphology aligns with pilocytic astrocytoma	Unknown	
Release 47 liftover	Most compatible with undifferentiated pleomorphic sarcoma	Unknown	
Release 47 liftover	"Most consistent with astrocytoma, IDH-1 mutant, WHO grade III"	Unknown	
Release 47 liftover	Most consistent with atypical teratoid/rhabdoid tumor	"Neoplasm, malignant"	
Release 47 liftover	"Most consistent with atypical teratoid/rhabdoid tumor, CNS WHO grade 4"	"Neoplasm, malignant"	
Release 47 liftover	Most consistent with clear cell meningioma	Unknown	
Release 47 liftover	"Most consistent with ependymoma, WHO Grade III"	Unknown	
Release 47 liftover	most consistent with Pilocytic astrocytoma	Unknown	
Release 47 liftover	Most consistent with primitive/ embryonal tumor	Unknown	
Release 47 liftover	Mucinous adenocarcinoma arising in the background of mucinous cystadenoma	Mucinous adenocarcinoma	
Release 47 liftover	Mucinous borderline tumor arising in background of mucinous cystadenoma	Mucinous Borderline Tumor	
Release 47 liftover	"Mucinous borderline tumor, ovary"	Mucinous Borderline Tumor	
Release 47 liftover	Mucinous carcinoma of the ovary with expansile pattern of invasion	Mucinous Carcinoma	
Release 47 liftover	"Mucinous neoplasm, with focal intraepithelial carcinoma and focal expansile growth"	"Mucinous Tumor, NOS"	
Release 47 liftover	Mucinous ovarian borderline tumor	Mucinous Borderline Tumor	
Release 47 liftover	Mucinous ovarian carcinoma	Mucinous Carcinoma	
Release 47 liftover	Mucoepidermoid carcinoma (low grade)	Mucoepidermoid carcinoma	
Release 47 liftover	Mucoepidermoid carcinoma low grade	Mucoepidermoid carcinoma	
Release 47 liftover	"Mucoepidermoid carcinoma, low grade"	Mucoepidermoid carcinoma	
Release 47 liftover	Mullerian malignancy with rhabdomyosarcomatous differentiation	"Neoplasm, malignant"	
Release 47 liftover	Multifocal cribriform morular thyroid carcinoma	Papillary Thyroid Carcinoma	
Release 47 liftover	Multifocal papillary microcarcinoma confined to they thyroid	Papillary microcarcinoma	
Release 47 liftover	Multifocal papillary thyroid carcinoma	Papillary Thyroid Carcinoma	
Release 47 liftover	"Multifocal papillary thyroid carcinoma involving both the left and right lobes, classical type"	Papillary Thyroid Carcinoma	
Release 47 liftover	"Multifocal papillary thyroid carcinoma, classic type"	Papillary Thyroid Carcinoma	
Release 47 liftover	Multinodular papillary thyroid carcinoma	Papillary Thyroid Carcinoma	
Release 47 liftover	"Multiple gastrointestinal tumors, epithelioid type"	"Epithelioid Neoplasm, NOS"	
Release 47 liftover	Myofibroblastic neoplasm with infiltrative growth pattern	"Myofibroblastic tumor, NOS"	
Release 47 liftover	Myofibroblastic proliferation most consistent with Desmoplastic fibromatosis	Unknown	
Release 47 liftover	Myofibroblastic proliferation suggestive of inflammatory myofibroblastic tumor	Unknown	
Release 47 liftover	Myofibroblastic tumor with epithelioid spindle cell morphology	"Myofibroblastic tumor, NOS"	
Release 47 liftover	Myxoid glial neoplasm	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	"Myxoid glioneuronal tumor, CNS WHO grade 1"	Myxoid glioneuronal tumor	
Release 47 liftover	"Myxoid glioneuronal tumour, WHO grade 1"	Myxoid glioneuronal tumor	
Release 47 liftover	Myxoid liposarcoma (AJCC Stage pT2)	Myxoid liposarcoma	
Release 47 liftover	"Myxoid Liposarcoma, Low-grade"	Myxoid liposarcoma	
Release 47 liftover	Myxoid neoplasm	"Myxoid Neoplasm, NOS"	
Release 47 liftover	Myxoid spindle cell neoplasm	"Myxoid Neoplasm, NOS"	
Release 47 liftover	Myxopapillary ependymoma (CNS WHO grade II)	Myxopapillary ependymoma	
Release 47 liftover	Myxopapillary ependymoma (WHO grade 2)	Myxopapillary ependymoma	
Release 47 liftover	Myxopapillary ependymoma WHO grade 2	Myxopapillary ependymoma	
Release 47 liftover	Myxopapillary ependymoma with anaplastic features	Myxopapillary ependymoma	
Release 47 liftover	"Myxopapillary ependymoma, anaplastic"	Myxopapillary ependymoma	
Release 47 liftover	"Myxopapillary ependymoma, anaplastic, WHO Grade 3"	Myxopapillary ependymoma	
Release 47 liftover	"Myxopapillary ependymoma, CNS WHO grade 2"	Myxopapillary ependymoma	
Release 47 liftover	"Myxopapillary ependymoma, WHO CNS grade 2"	Myxopapillary ependymoma	
Release 47 liftover	"Myxopapillary ependymoma, WHO Grade 2"	Myxopapillary ependymoma	
Release 47 liftover	Myxopapilloma ependymoma	Myxopapillary ependymoma	
Release 47 liftover	Nasal embryonal rhabdomyosarcoma	Embryonal Rhabdomyosarcoma	
Release 47 liftover	Nasopharyngeal carcinoma metastatic	Nasopharyngeal Carcinoma	
Release 47 liftover	"Nasopharyngeal carcinoma, nonkeratinizing"	Nasopharyngeal Carcinoma	
Release 47 liftover	"Nasopharyngeal carcinoma, non-keratinizing"	Nasopharyngeal Carcinoma	
Release 47 liftover	"Nasopharyngeal carcinoma, non-keratinizing squamous cell carcinoma type"	Nasopharyngeal Carcinoma	
Release 47 liftover	"Nasopharyngeal carcinoma, nonkeratinizing squamous cell carcinoma, eber positive"	Nasopharyngeal Carcinoma	
Release 47 liftover	"Nasopharyngeal carcinoma, nonkeratinizing, undifferentiated subtype"	Nasopharyngeal Carcinoma	
Release 47 liftover	"Nasopharyngeal carcinoma, nonkeratinizing, undifferentiated type"	Nasopharyngeal Carcinoma	
Release 47 liftover	"Nasopharyngeal carcinoma, undifferentiated subtype"	Nasopharyngeal Carcinoma	
Release 47 liftover	Nasopharyngeal nonkeratinizing carcinoma	Nasopharyngeal Carcinoma	
Release 47 liftover	Neoplasm	"Neoplasm, NOS"	
Release 47 liftover	Neoplasm most consistent with pilocytic astrocytoma	"Neoplasm, NOS"	
Release 47 liftover	Neoplasm of soft tissue of shoulder	"Neoplasm, NOS"	
Release 47 liftover	Neoplasm with abundant multinucleated giant cells	"Neoplasm, NOS"	
Release 47 liftover	Neoplasm with glioneuronal history	"Neoplasm, NOS"	
Release 47 liftover	Neoplasm with meningothelial and clear cell histologic features	"Neoplasm, NOS"	
Release 47 liftover	"Neoplasm, favor glial/neuronal origin"	"Neoplasm, NOS"	
Release 47 liftover	"Neoplasm, histiocytic tumor favored"	"Neoplasm, NOS"	
Release 47 liftover	Neoplastic cells with skeletal muscle differentiation present	"Neoplasm, NOS"	
Release 47 liftover	Neoplastic process suggestive of a high grade astrocytoma	"Neoplasm, NOS"	
Release 47 liftover	Neoplastic tissue with high grade features including atypia	"Neoplasm, NOS"	
Release 47 liftover	"Nerve sheath tumor, most consistent with schwannoma"	"Nerve Sheath Tumor, NOS"	
Release 47 liftover	Neuroblastic tumor	"Neuroendocrine tumor, NOS"	
Release 47 liftover	"Neuroblastic tumor composed of differentiating neuroblastoma, low MKI, and Schwannian stroma"	"Neuroendocrine tumor, NOS"	
Release 47 liftover	"Neuroblastic tumor consistent with neuroblastoma, stroma poor, poorly differentiated, low MKI"	"Neuroendocrine tumor, NOS"	
Release 47 liftover	Neuroblastic tumor with sharply outlined Schwannian stroma-poor and Schwannian stroma-rich regions	"Neuroendocrine tumor, NOS"	
Release 47 liftover	"Neuroblastoma (schwannian stroma-poor), differentiating subtype"	Neuroblastoma	
Release 47 liftover	"Neuroblastoma (schwannian stroma-poor), poorly differentiated sub-type, intermediate MKI"	Neuroblastoma	
Release 47 liftover	"Neuroblastoma (Schwannian stroma-poor, undifferentiated subtype, with high mitotic-karyorrhectic index"	Neuroblastoma	
Release 47 liftover	Neuroblastoma (Schwannian-stroma poor)	Neuroblastoma	
Release 47 liftover	"Neuroblastoma (Shwannian stroma-poor). poorly differentiated, high MKI, unfavorable histology."	Neuroblastoma	
Release 47 liftover	Neuroblastoma CNS	Neuroblastoma	
Release 47 liftover	Neuroblastoma consistent with nodular ganglioneuroblastoma	Neuroblastoma	
Release 47 liftover	"Neuroblastoma, differentiating"	Neuroblastoma	
Release 47 liftover	"Neuroblastoma, differentiating type"	Neuroblastoma	
Release 47 liftover	"Neuroblastoma, differentiating, low MKI"	Neuroblastoma	
Release 47 liftover	"Neuroblastoma, favor poorly differentiated type"	Neuroblastoma	
Release 47 liftover	"Neuroblastoma, favorable histology"	Neuroblastoma	
Release 47 liftover	"Neuroblastoma, favourable histology"	Neuroblastoma	
Release 47 liftover	"Neuroblastoma, Paraspinal mass"	Neuroblastoma	
Release 47 liftover	"Neuroblastoma, poorly differentiated"	Neuroblastoma	
Release 47 liftover	"Neuroblastoma, poorly differentiated subtype"	Neuroblastoma	
Release 47 liftover	"Neuroblastoma, poorly differentiated subtype with high MKI unfavorable histology"	Neuroblastoma	
Release 47 liftover	"Neuroblastoma, poorly differentiated subtype with intermediate MKI"	Neuroblastoma	
Release 47 liftover	"Neuroblastoma, poorly differentiated subtype, intermediate mitotic-karyorrhectic index (MKI), favorable histopathology"	Neuroblastoma	
Release 47 liftover	"Neuroblastoma, poorly differentiated subtype, intermediate MKI (3.2%)"	Neuroblastoma	
Release 47 liftover	"Neuroblastoma, poorly differentiated with high MKI"	Neuroblastoma	
Release 47 liftover	"Neuroblastoma, poorly differentiated with high-MKI, consistent with unfavorable histopathology."	Neuroblastoma	
Release 47 liftover	"Neuroblastoma, poorly differentiated with low mitosis-karyorrhexis"	Neuroblastoma	
Release 47 liftover	"Neuroblastoma, poorly differentiated with low MKI"	Neuroblastoma	
Release 47 liftover	"Neuroblastoma, poorly differentiated, intermediate mitotic-karyorrhectic index, unfavorable histology"	Neuroblastoma	
Release 47 liftover	"Neuroblastoma, poorly differentiated, intermediate MKI, favorable histology"	Neuroblastoma	
Release 47 liftover	"Neuroblastoma, poorly differentiated, low karyorrhectic index"	Neuroblastoma	
Release 47 liftover	"Neuroblastoma, poorly differentiated, low MKI"	Neuroblastoma	
Release 47 liftover	"Neuroblastoma, poorly differentiated, low MKI, favorable histology"	Neuroblastoma	
Release 47 liftover	"Neuroblastoma, poorly differentiated, schwannian stroma poor"	Neuroblastoma	
Release 47 liftover	"Neuroblastoma, poorly differentiated, unfavorable histopathology"	Neuroblastoma	
Release 47 liftover	"Neuroblastoma, poorly differentiated, with high MKI"	Neuroblastoma	
Release 47 liftover	"Neuroblastoma, poorly differentiated, with high MKI and unfavorable histology"	Neuroblastoma	
Release 47 liftover	"Neuroblastoma, Schwannian stroma poor, poorly differentiated, low MKI, favorable histology"	Neuroblastoma	
Release 47 liftover	"Neuroblastoma, Schwannian stroma-poor"	Neuroblastoma	
Release 47 liftover	"Neuroblastoma, Schwannian stroma-poor poorly differentiated, high MKI"	Neuroblastoma	
Release 47 liftover	"Neuroblastoma, Schwannian stroma-poor, poorly differentiated, favor intermediate MKI"	Neuroblastoma	
Release 47 liftover	"Neuroblastoma, Schwannian stroma-poor, poorly differentiated, high mitosis-karyorrhexis-index, unfavorable histology"	Neuroblastoma	
Release 47 liftover	"Neuroblastoma, Schwannian stroma-poor; poorly differentiated, low mitotic-karyorrhectic index (unfavorable histology)."	Neuroblastoma	
Release 47 liftover	"Neuroblastoma, undifferentiated"	Neuroblastoma	
Release 47 liftover	"Neuroblastoma, undifferentiated type"	Neuroblastoma	
Release 47 liftover	"Neuroblastoma, unfavorable histology"	Neuroblastoma	
Release 47 liftover	"Neuroblastoma, unfavorable histology. Poorly differentiated, stroma poor with intermediate MKI. FISH for MYCN amplification is in progress"	Neuroblastoma	
Release 47 liftover	Neurocytoma	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	"Neuroectodermal tumor, neuroblastoma vs ganglioneuroblastoma"	"Neoplasm, NOS"	
Release 47 liftover	"Neuroectodermal tumor, NTRK1 altered, with low-grade morphologic features"	"Neoplasm, NOS"	
Release 47 liftover	Neuroendocrine	Unknown	
Release 47 liftover	Neuroendocrine carcinoma	"Neuroendocrine carcinoma, NOS"	
Release 47 liftover	Neuroendocrine tumor	"Neuroendocrine tumor, NOS"	
Release 47 liftover	"Neuroendocrine tumor, well differentiated"	"Neuroendocrine tumor, NOS"	
Release 47 liftover	"Neuroendocrine tumor, well-differentiated, WHO grade 1, 1.1 cm, involving the appendiceal tip and extending focally into the subserosal fat"	"Neuroendocrine tumor, NOS"	
Release 47 liftover	Neuroepithelial neoplasm	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	"Neuroepithelial neoplasm with methylation array match to neuroepithelial tumor, PLAGL1-fused, not elsewhere classified"	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	"Neuroepithelial neoplasm, Glioma"	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	"Neuroepithelial neoplasm, low grade, consistent with pilocytic astrocytoma, CNS WHO Grade 1"	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	"Neuroepithelial neoplasm, not elsewhere classified (NEC)"	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	Neuroepithelial tumor	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	Neuroepithelial tumor favor high grade	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	Neuroepithelial tumor of pineal region with papillary features	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	Neuroepithelial tumor with glioneuronal-like features	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	Neuroepithelial tumor with PATZ-1 Fusion by DNA methylation	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	Neuroepithelial tumor with scattered mitoses	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	"Neuroepithelial tumor, favor low grade"	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	"Neuroepithelial tumor, favored a high grade glial neoplasm"	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	"Neuroepithelial tumor, glial/glioneuronal neoplasm, with calcification"	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	"Neuroepithelial tumor, high-grade"	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	"Neuroepithelial tumor, most consistent with posterior fossa ependymoma"	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	Neurofibromatosis	"Neurofibromatosis, NOS"	
Release 47 liftover	Neurofibromatosis; Moderately cellular neoplasm	"Neurofibromatosis, NOS"	
Release 47 liftover	Neuroglial tumor	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	Neuronal embryonal tumor with features concerning for atypical teratoid/rhabdoid tumor	"Embryonal Tumors, NOS"	
Release 47 liftover	Neuronal neoplasm	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	Nodular ganglioneuroblastoma	Ganglioneuroblastoma	
Release 47 liftover	"Nodular spindle neoplasm with mesenchymal phenotype, focal necrosis, and associated abnormally vascular and calcified neuronal component of uncertain etiology"	"Mesenchymal Tumor, NOS"	
Release 47 liftover	Noninvasive follicular thyroid neoplasm with papillary like nuclear features (NIFTP)	"Follicular Thyroid, NOS"	
Release 47 liftover	Non-keratinizing nasopharyngeal carcinoma	Nasopharyngeal Carcinoma	
Release 47 liftover	Non-WNT/non-SHH medulloblastoma	"Medulloblastoma, non-WNT/non-SHH"	
Release 47 liftover	Normocellular Bone Marrow with Metastatic Neuroblastoma	Neuroblastoma	
Release 47 liftover	Not yet specified	Unknown	
Release 47 liftover	NTRK-1 altered mesenchymal tumor	"Mesenchymal Tumor, NOS"	
Release 47 liftover	NTRK3 fusion positive spindle cell neoplasm	"Neoplasm, NOS"	
Release 47 liftover	NTRK-rearranged mesenchymal tumor	"Mesenchymal Tumor, NOS"	
Release 47 liftover	NTRK-rearranged mesenchymal tumour	"Mesenchymal Tumor, NOS"	
Release 47 liftover	Occasional fragments of polymorphous low grade neuroepithelial tumor of the young	Polymorphous low-grade neuroepithelial tumor of the young	
Release 47 liftover	"Olfactory neuroblastoma, low grade"	Neuroblastoma	
Release 47 liftover	Oligodendroglioma	"Oligodendroglioma, NOS"	
Release 47 liftover	"Oligodendroglioma IDH mutant,1p 19q codeleted CNS WHO grade 2"	"Oligodendroglioma, IDH-mutant and 1p/19q-codeleted"	
Release 47 liftover	"Oligodendroglioma IDH mutant,1p 19q codleted CNS WHO grade 2"	"Oligodendroglioma, IDH-mutant and 1p/19q-codeleted"	
Release 47 liftover	Omentum	Unknown	
Release 47 liftover	Omentum; Pancreatic acinar cell carcinoma	Acinar cell carcinoma	
Release 47 liftover	Oncocytic adrenal cortical carcinoma	Adrenal cortical carcinoma	
Release 47 liftover	Optic pathway glioma	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	Optic pathway glioma WHO grade 1	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	"Oral invasive squamous cell carcinoma, well-differentiated cuniculatrum type"	"Squamous cell carcinoma, NOS"	
Release 47 liftover	"Other CNS tumor, NOS or NEC"	"Neoplasm, NOS"	
Release 47 liftover	Other low-grade B-cell lymphomas of the CNS	"Neoplasm, NOS"	
Release 47 liftover	Ovarian juvenile granulosa cell tumor	Juvenile Granulosa Cell Tumor	
Release 47 liftover	Ovarian mass consisting of undifferentiated small cell neoplasm	"Neoplasm, NOS"	
Release 47 liftover	Ovarian sclerosing stromal tumor	Sclerosing stromal tumor	
Release 47 liftover	Ovarian serous borderline tumor	"Serous borderline tumor, NOS"	
Release 47 liftover	Ovarian serous tumor	"Serous borderline tumor, NOS"	
Release 47 liftover	Packed marrow with extensive involvement by neuroblastoma	Neuroblastoma	
Release 47 liftover	Pancreatic acinar cell carcinoma	Acinar cell carcinoma	
Release 47 liftover	Pancreatoblatoma	Pancreatoblastoma	
